title,video_url,views,date_published
Data Analyst Interviews | Salary Negotiation,https://www.youtube.com/watch?v=ziurEoqEcO4,24K views,"03 Feb, 2021"
Data Analyst Interview Questions | What To Say vs What NOT To Say,https://www.youtube.com/watch?v=rLKC--8UYSw,67K views,"03 Feb, 2021"
SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,https://www.youtube.com/watch?v=sua7xKN0cPc,113K views,"03 Feb, 2021"
Data Analyst Interview Questions | Phone + In-Person Interview Questions,https://www.youtube.com/watch?v=fweZQqB0nwQ,75K views,"03 Feb, 2021"
Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),https://www.youtube.com/watch?v=oXAwKZWfbW0,15K views,"03 Feb, 2021"
Intermediate SQL Tutorial | Updating/Deleting Data,https://www.youtube.com/watch?v=bhnrIforc7s,125K views,"03 Feb, 2021"
Intermediate SQL Tutorial | Having Clause,https://www.youtube.com/watch?v=tYBOMw7Ob8E,145K views,"03 Feb, 2021"
Intermediate SQL Tutorial | Case Statement | Use Cases,https://www.youtube.com/watch?v=Twusw__OzA8,244K views,"03 Feb, 2021"
Intermediate SQL Tutorial | Unions | Union Operator,https://www.youtube.com/watch?v=lYKkro6rKm0,214K views,"03 Feb, 2021"
Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,https://www.youtube.com/watch?v=9URM1_2S0ho,433K views,"03 Feb, 2021"
Day in the Life of a Data Analyst | Fortune 500 Edition,https://www.youtube.com/watch?v=qzZU6LAtIig,124K views,"03 Feb, 2021"
SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,https://www.youtube.com/watch?v=LXwfzIRD-Ds,275K views,"03 Feb, 2021"
SQL Basics Tutorial For Beginners | Where Statement | 3/4,https://www.youtube.com/watch?v=A9TOuDZTPDU,291K views,"03 Feb, 2021"
SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,https://www.youtube.com/watch?v=PyYgERKq25I,423K views,"03 Feb, 2021"
SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,https://www.youtube.com/watch?v=RSlqWnP-Dy8,1.1M views,"03 Feb, 2021"
Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,https://www.youtube.com/watch?v=9o9loJpG-t4,25K views,"03 Feb, 2021"
Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,https://www.youtube.com/watch?v=Lacbh0VoT3g,24K views,"03 Feb, 2021"
Data Analyst Salary in 2020,https://www.youtube.com/watch?v=oZKs2xMbXQE,8K views,"03 Feb, 2021"
Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,https://www.youtube.com/watch?v=N8f7NtDpbxA,13K views,"03 Feb, 2021"
Switching Careers to Become a Data Analyst | How I Made the Switch,https://www.youtube.com/watch?v=wcKzdRVsMOw,48K views,"03 Feb, 2021"
Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,https://www.youtube.com/watch?v=Ns-8Jsa3mEM,115K views,"03 Feb, 2021"
Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,https://www.youtube.com/watch?v=4rfr6A3lO-Y,67K views,"03 Feb, 2020"
Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,https://www.youtube.com/watch?v=OTq2NRy_AGs,14K views,"03 Feb, 2020"
Data Analyst Salary | 100k with No Experience,https://www.youtube.com/watch?v=ya28cb3zFGE,62K views,"03 Feb, 2020"
Truth About Big Companies | Told by a Fortune 500 Data Analyst,https://www.youtube.com/watch?v=Hsi2BG0SOiQ,8.3K views,"03 Feb, 2020"
Top 3 Data Analyst Skills in 2020,https://www.youtube.com/watch?v=6lQzbk6_OTw,28K views,"03 Feb, 2020"
