Country,Capital City,Population
Iraq,Baghdad,"8,126,755"
Israel,Jerusalem,"958,679"
Japan,Tokyo,"9,733,276"
Jordan,Amman,"4,007,526"
Kazakhstan,Nursultan,"1,354,507"
Kuwait,Kuwait City,"2,989,000"
Kyrgyzstan,Bishkek,"1,071,261"
Laos,Vientiane,"783,000"
Lebanon,Beirut,"361,366"
Macao,Concelho de Macau,"677,300"
Malaysia,Kuala Lumpur,"1,982,112"
Maldives,Malé,"240,984"
Mongolia,Ulaanbaatar,"1,665,469"
Myanmar,Nay Pyi Taw,"1,160,242"
Nepal,Kathmandu,"975,453"
North Korea,Pyongyang,"3,222,000"
Oman,Muscat,"31,409"
Pakistan,Islamabad,"1,009,003"
Palestine,Ramallah,"27,092"
Philippines,Manila,"1,846,513"
Qatar,Doha,"1,186,023"
Saudi Arabia,Riyadh,"7,676,654"
Singapore,Singapore,"5,637,022"
South Korea,Seoul,"9,617,795"
Sri Lanka,Colombo,"752,993"
Syria,Damascus,"2,354,000"
Taiwan,Taipei,"2,646,204"
Tajikistan,Dushanbe,"770,027"
Thailand,Bangkok,"10,539,000"
Turkey,Ankara,"5,663,322"
Turkmenistan,Ashgabat,"1,031,992"
United Arab Emirates,Abu Dhabi,"1,482,816"
Uzbekistan,Tashkent,"2,862,420"
Vietnam,Hanoi,"4,678,198"
Yemen,Sanaa,"2,545,000"
Algeria,Algiers,"2,712,944"
Angola,Luanda,"2,571,861"
Benin,Porto-Novo,"264,320"
Botswana,Gaborone,"246,323"
Burkina Faso,Ouagadougou,"2,415,266"
Burundi,Bujumbura,"497,169"
Cameroon,Yaounde,"2,765,600"
Cape Verde,Praia,"130,271"
Central Africa,Bangui,"889,231"
Chad,N'Djamena,"1,092,066"
Comoros,Moroni,"54,000"
Congo,Brazzaville,"2,308,000"
Congo (Dem. Republic),Kinshasa,"14,970,000"
Djibouti,Djibouti,"475,322"
Egypt,Cairo,"9,539,673"
Equatorial Guinea,Malabo,"315,665"
Eritrea,Asmara,"963,000"
Eswatini,Mbabane,"60,691"
Ethiopia,Addis Ababa,"2,739,551"
Gabon,Libreville,"703,904"
Gambia,Banjul,"31,301"
Ghana,Accra,"1,594,419"
Guinea,Conakry,"1,659,785"
Guinea-Bissau,Bissau,"387,909"
Ivory Coast,Yamoussoukro,"279,977"
Kenya,Nairobi,"4,397,073"
Lesotho,Maseru,"330,760"
Liberia,Monrovia,"1,010,970"
Libya,Tripoli,"1,126,000"
Madagascar,Antananarivo,"1,275,207"
Malawi,Lilongwe,"989,318"
Mali,Bamako,"1,810,366"
Mauritania,Nouakchott,"958,399"
Mauritius,Port Louis,"143,574"
Mayotte,Mamoudzou,"57,281"
Morocco,Rabat,"573,895"
Mozambique,Maputo,"1,080,277"
Namibia,Windhoek,"429,974"
Niger,Niamey,"1,026,848"
Nigeria,Abuja,"2,750,000"
Reunion,Saint-Denis,"146,985"
Rwanda,Kigali,"859,332"
Saint Helena,Jamestown,657
Sao Tome and Principe,São Tomé,"56,945"
Senegal,Dakar,"1,146,053"
Seychelles,Victoria,"26,450"
Sierra Leone,Freetown,"1,055,964"
Somalia,Mogadishu,"2,388,000"
South Africa,Pretoria,"741,651"
South Sudan,Juba,"230,195"
Sudan,Khartoum,"639,598"
Tanzania,Dodoma,"2,083,588"
Togo,Lomé,"839,566"
Tunisia,Tunis,"1,056,247"
Uganda,Kampala,"1,507,114"
Western Sahara,El Aaiún,"196,331"
Zambia,Lusaka,"1,747,152"
Zimbabwe,Harare,"1,698,122"
American Samoa,Pago Pago,"3,656"
Australia,Canberra,"453,558"
Christmas Island,Flying Fish Cove,"1,600"
Cocos Islands,West Island,134
Cook Islands,Avarua,"4,906"
Fiji,Suva,"74,481"
French Polynesia,Papeete,"26,925"
Guam,Hagåtña,"1,051"
Kiribati,Tarawa,"63,017"
Marshall Islands,Majuro,"27,797"
Nauru,Yaren,747
New Caledonia,Nouméa,"94,285"
New Zealand,Wellington,"217,000"
Niue,Alofi,597
Norfolk Island,Kingston,880
Northern Marianas,Saipan,"48,220"
Papua New Guinea,Port Moresby,"364,125"
Pitcairn Islands,Adamstown,40
Samoa,Apia,"34,963"
Solomon Islands,Honiara,"84,520"
Tonga,Nuku‘alofa,"34,142"
Tuvalu,Funafuti,"6,320"
Vanuatu,Port-Vila,"49,034"
Wallis and Futuna,Mata-Utu,"1,126"
