title,video_url,views,video_age,CLEAN_VIEMS,date_published
How Do I Structure My Application?,https://www.youtube.com/watch?v=r5G2OiYZAvk,14K views,4 months ago,14000,
Dependency Injection in Minimal APIs in C#,https://www.youtube.com/watch?v=i-xJ97uJ9qY,14K views,4 months ago,14000,
Why Do Applications Need Constant Updates? What is Code Rot?,https://www.youtube.com/watch?v=ms4Fu_ntIxg,4.7K views,5 months ago,4700,
How To Return a Record ID from SQL to C# on Insert,https://www.youtube.com/watch?v=b8Zev2qU5IE,10K views,5 months ago,10000,
How Do I Deal with Overthinking?,https://www.youtube.com/watch?v=8RmkyrbeWok,4.9K views,5 months ago,4900,
Intro to the CsvHelper Library for C#,https://www.youtube.com/watch?v=z3BwMlcGdhg,16K views,5 months ago,16000,
Why Do Software Development Projects Fail?,https://www.youtube.com/watch?v=FxmFTYElgig,6K views,5 months ago,6000,
New C# Book: Getting Started with C# (plus bonus kit),https://www.youtube.com/watch?v=-4UCL08pzyE,7K views,5 months ago,7000,
New File Dialog Tips and Tricks for Visual Studio in 10 Minutes or Less,https://www.youtube.com/watch?v=3dpFeNV1smU,6.9K views,5 months ago,6900,
What’s New with .NET MAUI featuring Maddy Montaquila,https://www.youtube.com/watch?v=wf-jtXGku6E,7.7K views,5 months ago,7700,
Dev Tunnels Visual Studio in 10 Minutes or Less,https://www.youtube.com/watch?v=kdaHwOkQf7c,11K views,5 months ago,11000,
How Important is a Computer Science Degree for Software Developers?,https://www.youtube.com/watch?v=B2RF_LcaFmQ,7.4K views,5 months ago,7400,
Initial Look at the C# Dev Kit for VSCode,https://www.youtube.com/watch?v=2L4apvBifaU,29K views,6 months ago,29000,
The State of AI and .NET featuring Amanda Silver,https://www.youtube.com/watch?v=3XVC_zMuKDk,5.6K views,6 months ago,5600,
Using http Files in Visual Studio to Test and Document APIs,https://www.youtube.com/watch?v=drwc2dF3u7I,13K views,6 months ago,13000,
How Do I Build A Network of Connections?,https://www.youtube.com/watch?v=OeMDhUN7xvQ,4.3K views,6 months ago,4300,
"Debugging Lists in Visual Studio - viewing, sorting, and exporting",https://www.youtube.com/watch?v=ugduiQ28row,11K views,6 months ago,11000,
"Microsoft Build 2023 Recap - What's New, What's Better, and What's Coming",https://www.youtube.com/watch?v=B7Xy1009mx0,7.9K views,6 months ago,7900,
"AI is Everywhere, Now What? (Microsoft Build Conf. Special)",https://www.youtube.com/watch?v=28do0qBi4m0,8.5K views,6 months ago,8500,
Sticky Scroll is Back! Colorized Braces Are Also Now Available!,https://www.youtube.com/watch?v=O1GUbjacjKQ,7.5K views,6 months ago,7500,
How Do I Keep Up with the Latest Technologies?,https://www.youtube.com/watch?v=GHRttOr6bQM,8.7K views,6 months ago,8700,
Deploying Blazor Mini Course: Updating Connection Strings in Azure,https://www.youtube.com/watch?v=lSCjtrNkT38,5.9K views,6 months ago,5900,
What Should a Software Developer Not Do?,https://www.youtube.com/watch?v=Qpfd7hMPPPY,12K views,7 months ago,12000,
Deploying Blazor Mini Course: GitHub Actions and Continuous Delivery,https://www.youtube.com/watch?v=wybpWMrpuZk,7.4K views,7 months ago,7400,
What Was Your Biggest Mistake in Software Development?,https://www.youtube.com/watch?v=DYy2ydO-EsU,9.7K views,7 months ago,9700,
Deploying Blazor Mini Course: Creating an Azure Web App,https://www.youtube.com/watch?v=NiBEk8QepP4,18K views,7 months ago,18000,
How Do I Become a C# Expert?,https://www.youtube.com/watch?v=PLkZxTKxBac,24K views,7 months ago,24000,
Shortcut for Wrapping Element in a Div in ASP.NET Core,https://www.youtube.com/watch?v=7RBWbhj0lXA,9.7K views,7 months ago,9700,
How Do I Approach Rewriting an Old Codebase?,https://www.youtube.com/watch?v=uxtb_DqtOhI,10K views,7 months ago,10000,
Correct String Initialization in C#,https://www.youtube.com/watch?v=sh-1rNVfvhM,29K views,7 months ago,29000,
How Do I Get Side Income as a Developer?,https://www.youtube.com/watch?v=65vggzDs_dg,23K views,8 months ago,23000,
Blazor Code Separation - Easily Moving Code to a Code Behind File,https://www.youtube.com/watch?v=xiy0VHUbZJI,13K views,8 months ago,13000,
Should I Build a CMS or Should I Buy One?,https://www.youtube.com/watch?v=6UbmtZyWxz0,12K views,8 months ago,12000,
5 Quick Wins in Bootstrap 5 (plus dispelling 1 major myth),https://www.youtube.com/watch?v=qTdEks8FIBU,12K views,8 months ago,12000,
Adding Blazor Components with Drag and Drop,https://www.youtube.com/watch?v=1-4BuF9Mztk,11K views,8 months ago,11000,
Are Coding Bootcamps Worth It?,https://www.youtube.com/watch?v=Z2y9swvqZfA,4.9K views,8 months ago,4900,
Generating Fake Data in C# with Bogus,https://www.youtube.com/watch?v=ONJUPMYBgKI,18K views,8 months ago,18000,
How Do I Document My Code?,https://www.youtube.com/watch?v=oOb2gIkbft8,17K views,8 months ago,17000,
Humanize Your C# Code with the Humanizer NuGet Package,https://www.youtube.com/watch?v=S3BEfCzYPRU,20K views,8 months ago,20000,
How Do I Work with Offline Data?,https://www.youtube.com/watch?v=qGHLB-0-twQ,7K views,8 months ago,7000,
C# Resume and Portfolio Review,https://www.youtube.com/watch?v=MjG1ooA2wvY,13K views,9 months ago,13000,
What Should I Look For In A Good C# Job?,https://www.youtube.com/watch?v=6rRJFHG9XbA,12K views,9 months ago,12000,
"C# Hard Truths: Program.cs was a Lie, Startup.cs is a Waste of Space, and more...",https://www.youtube.com/watch?v=aSNqqZqYTk4,47K views,9 months ago,47000,
Why is Microsoft Changing C# Syntax So Much?,https://www.youtube.com/watch?v=MTtYQ79abzU,34K views,9 months ago,34000,
Intro To RabbitMQ,https://www.youtube.com/watch?v=bfVddTJNiAw,64K views,9 months ago,64000,
When Should I Quit? How Do I Know When to Move On?,https://www.youtube.com/watch?v=012u-528CxM,14K views,9 months ago,14000,
How Do You Keep Your Motivation to Learn and Grow?,https://www.youtube.com/watch?v=hEvqzVh0QpM,7.8K views,9 months ago,7800,
Running RabbitMQ Locally with Docker,https://www.youtube.com/watch?v=-0g-1ckQgBo,25K views,9 months ago,25000,
Is It Possible To Overuse DRY? Is Repeating Yourself Ever OK?,https://www.youtube.com/watch?v=MMBb6votW_0,8.1K views,10 months ago,8100,
6 New Features Coming Soon in Visual Studio 2022 (v17.5),https://www.youtube.com/watch?v=0NiHvdoMBO8,33K views,10 months ago,33000,
What Are Your Thoughts on Entity Framework Core vs. Dapper?,https://www.youtube.com/watch?v=7ZcbHFmgVAI,43K views,10 months ago,43000,
".NET Versions Explained - .NET, .NET Core, .NET Standard, .NET Framework and more",https://www.youtube.com/watch?v=X75vbT-Yv-c,62K views,10 months ago,62000,
7 File Uploading in C# Best Practices - The Blazor File Upload Mini Course,https://www.youtube.com/watch?v=PFs0mzYHQI0,6.9K views,10 months ago,6900,
Why Is Diversity Important In Software Development?,https://www.youtube.com/watch?v=eEtgNdLZ6Lg,3.6K views,10 months ago,3600,
Displaying Files From SQL - The Blazor File Upload Mini Course,https://www.youtube.com/watch?v=pKehZTYB62Q,7.4K views,10 months ago,7400,
Capturing Uploaded Files in SQL - The Blazor File Upload Mini Course,https://www.youtube.com/watch?v=dzQvHGMIVpg,10K views,10 months ago,10000,
Associating File Uploads with a Form - The Blazor File Upload Mini Course,https://www.youtube.com/watch?v=fW-rx2ONPGM,9.7K views,10 months ago,9700,
How Do I Recover After Being Fired?,https://www.youtube.com/watch?v=P5mkH6Bp03w,11K views,10 months ago,11000,
Uploading Files to Blazor - The Blazor File Upload Mini Course,https://www.youtube.com/watch?v=9H6hs61UK84,21K views,10 months ago,21000,
Introduction to the Blazor File Upload Mini Course,https://www.youtube.com/watch?v=fb84DSypeWk,10K views,10 months ago,10000,
What Soft Skills Benefit Software Developers the Most?,https://www.youtube.com/watch?v=U6Xjhp5oSqk,14K views,11 months ago,14000,
How To Learn SQL In 2023,https://www.youtube.com/watch?v=K2qNDuGzQ5E,14K views,11 months ago,14000,
How To Learn Azure In 2023,https://www.youtube.com/watch?v=LIpAw_VmNso,32K views,11 months ago,32000,
How To Learn Blazor In 2023,https://www.youtube.com/watch?v=GIcAADklnRo,78K views,11 months ago,78000,
Should I Start My Project Over From Scratch or Update It?,https://www.youtube.com/watch?v=f1rNumEAJzU,5.4K views,11 months ago,5400,
How To Learn Git In 2023,https://www.youtube.com/watch?v=7dROWfpYiXs,28K views,11 months ago,28000,
How Do I Make a Resolution I Can Keep?,https://www.youtube.com/watch?v=WDnW5RRk834,5.3K views,11 months ago,5300,
How To Learn Web Development In 2023,https://www.youtube.com/watch?v=vru0mjRYixI,45K views,11 months ago,45000,
